Date,close,volume,tasi,oil,vix,repo_rate,alrajhi,rsi,ma20,ma50,ma200,above_ma20,above_ma50,above_ma200,ret_1d,ret_20d,vol_ratio,bb_pct,high_52w,dist_from_high,rate_change_3m,rate_regime,vix_high,oil_bull,oil_bear,tasi_20d,rs_vs_tasi_20d,fwd_30d,fwd_30d_vs_tasi,fwd_60d,fwd_60d_vs_tasi,fwd_90d,fwd_90d_vs_tasi,pe_hist,pb_hist,ret_5d,bb_upper,bb_lower,low_52w
2023-08-06,109.58636474609376,360105,11351.48046875,85.13999938964844,15.920000076293944,5.5,44.37326431274414,,,,,0,0,0,-0.011824366392584884,,,,,,,stable,0.0,0.0,0.0,,,-0.0220216178222554,-0.0002332635361439,-0.0685920567563911,0.0032585140839349,-0.0461692889243611,-0.0487654019726661,10.87,6.31,-0.011824366392584884,,,
2023-08-07,106.2144775390625,562111,11271.9404296875,85.33999633789062,15.770000457763672,5.5,44.31093978881836,,,,,0,0,0,-0.030769222200624724,,,,,,,stable,0.0,0.0,0.0,,,0.0090253060248772,0.029953414374678,-0.039023559117306,0.0125958217308262,-0.0301256078261459,-0.0410429446485079,10.53,6.11,-0.05657240665472263,,,
2023-08-08,106.77645874023438,478293,11244.26953125,86.16999816894531,15.989999771118164,5.5,44.31093978881836,,,,,0,0,0,0.005291003770791836,,,,,,,stable,0.0,0.0,0.0,,,0.0391191279651519,0.0545492098853522,-0.0405408089684299,-0.002354256999076,-0.04231110441685,-0.0562915764142182,10.59,6.15,-0.05629129070001393,,,
2023-08-09,108.46240234375,331772,11286.2099609375,87.55000305175781,15.960000038146973,5.5,44.93415832519531,,,,,0,0,0,0.015789469171450854,,,,,,,stable,0.0,0.0,0.0,,,0.0072825832504241,0.0271927179825653,-0.0310569129252558,0.0072951654848684,-0.0589401636871935,-0.0816864821989904,10.76,6.24,-0.023608784838543007,,,
2023-08-10,109.3990478515625,921471,11424.1201171875,86.4000015258789,15.850000381469728,5.5,44.87183380126953,27.13174158411934,,,,0,0,0,0.008635669942511415,,,,,,,stable,0.0,0.0,0.0,,,-0.003069288895187,0.03848316244838,-0.0358971018648801,0.0065718075039092,-0.0669972673418902,-0.082455754084279,10.85,6.3,-0.013513463310505958,,,
2023-08-13,109.02438354492188,482733,11546.150390625,86.4000015258789,15.850000381469728,5.5,45.30809020996094,23.19999087699749,,,,0,0,0,-0.003424749245980463,,,,,,,stable,0.0,0.0,0.0,,,-0.0013769726671238,0.0564959926356716,-0.0499212598645602,0.0018094052363789,-0.0741932635056966,-0.0854688357718181,10.81,6.27,-0.00512820370010425,,,
2023-08-14,106.77645874023438,336307,11493.8203125,86.20999908447266,14.81999969482422,5.5,45.24576950073242,23.77047483797395,,,,0,0,0,-0.02061855092958431,,,,,,,stable,0.0,0.0,0.0,,,-0.0069066244890108,0.043170726859438,-0.0246088644529303,0.0230559302839153,-0.0564728249359575,-0.0755821934893038,10.59,6.15,0.005291003770791836,,,
2023-08-15,107.71309661865234,381238,11412.8798828125,84.88999938964844,16.459999084472656,5.5,45.24576950073242,27.868828926512634,,,,0,0,0,0.008771951134815437,,,,,,,stable,0.0,0.0,0.0,,,0.00551565780015,0.0349507746658691,-0.0594130075347579,-0.0169942558998991,-0.0734515823614828,-0.0988632672990649,10.68,6.2,0.008771951134815437,,,
2023-08-16,107.52576446533205,289427,11392.759765625,83.44999694824219,16.780000686645508,5.5,45.05879974365234,30.909086196797645,,,,0,0,0,-0.0017391771214556595,,,,,,,stable,0.0,0.0,0.0,,,0.0178148022611936,0.0473774202410545,-0.0665636791463823,-0.0181118543597725,-0.0718373431036192,-0.0919527432866782,10.66,6.19,-0.008635599601136135,,,
2023-08-17,106.0271453857422,313259,11451.3095703125,84.12000274658203,17.889999389648438,5.5,45.49505615234375,36.17018787581018,111.50646934509277,,,0,0,0,-0.013937302255340178,,0.5278757575410341,0.21868130855707124,,,,stable,0.0,0.0,0.0,,,0.0322008981671833,0.0681041846789181,-0.078328424667145,-0.0243896224644425,-0.0355429406952054,-0.0564436786276592,10.52,6.1,-0.030822045822514355,121.24511118799029,101.76782750219525,
2023-08-20,104.7158660888672,250100,11501.419921875,84.12000274658203,17.889999389648438,5.5,45.55738067626953,27.17390630685827,110.71969528198242,,,0,0,0,-0.01236739225699579,-0.1306376525315529,0.46442091947914294,0.17458463555451964,,,,stable,0.0,0.0,0.0,-0.0220130342858533,-0.1086246182456995,0.0631768968850119,0.1062567509859067,-0.0577617946629726,0.0041149063625631,0.0,-0.0270983864594165,10.39,6.03,-0.03951884262917582,119.94456578455683,101.49482477940802,
2023-08-21,106.41702270507812,342022,11408.4501953125,84.45999908447266,17.1299991607666,5.5,45.18344497680664,31.689312696254746,109.96178169250489,,,0,0,0,0.016245452382232406,-0.12468217208571486,0.7225801381201259,0.27448483666868173,,,,stable,0.0,0.0,0.0,-0.0333378678255107,-0.0913443042602041,0.0444050067205361,0.0843850516656335,-0.062166966392731,-0.013838703000387,-0.0053286094096683,-0.0460159665487408,10.55,6.12,-0.003366247948255019,117.82102923724523,102.10253414776454,
2023-08-22,108.11819458007812,411798,11377.5498046875,84.02999877929688,16.969999313354492,5.5,45.30809020996094,41.765260705438486,109.42942161560059,,,0,0,0,0.015985899922370317,-0.08964902139923525,0.902497770043854,0.4022380793308532,,,,stable,0.0,0.0,0.0,-0.0425097617790599,-0.0471392596201752,0.0,0.0472228452224522,-0.0699300867078372,-0.0387581593299513,-0.0087413490451242,-0.0537246550708769,10.72,6.22,0.0037608979236758433,116.13564744743555,102.72319578376563,
2023-08-23,107.55113220214844,207314,11367.0703125,83.20999908447266,15.979999542236328,5.5,45.18344497680664,40.90301241950057,108.91553955078125,,,0,0,0,-0.005244837653200829,-0.08722522514005882,0.4733230387387489,0.37492888732206503,,,,stable,0.0,0.0,0.0,-0.0452758012568532,-0.0419494238832055,0.0017574024210356,0.0547368145799238,-0.0597539523110757,-0.0346726799955535,0.003514875779442,-0.0461768736200363,10.67,6.19,0.00023592240373759843,114.37006585753217,103.46101324403033,
2023-08-24,108.68522644042967,273572,11405.2998046875,83.36000061035156,17.200000762939453,5.5,45.05879974365234,47.52657413534582,108.58012580871582,,,1,0,0,0.010544698275696929,-0.05813390500154825,0.669851234221932,0.5116192379164904,,,,stable,0.0,0.0,0.0,-0.0373422001942785,-0.0207917048072696,-0.06086950417638,0.0100870061562016,-0.06086950417638,-0.0373480241763766,0.0,-0.0492832151171498,10.78,6.26,0.025069816272210055,113.1028248217333,104.05742679569835,
2023-08-27,110.1973876953125,362663,11470.1103515625,83.36000061035156,17.200000762939453,5.5,45.18344497680664,62.175183380583654,108.54511222839355,,,1,0,0,0.01391321805555279,-0.006314575175476178,0.9079764492896494,0.6853354042569318,,,,stable,0.0,0.0,0.0,-0.0270728928715117,0.0207583176960355,-0.0720412617406841,0.0059676222532358,-0.0600344424788171,-0.0294183532598357,-0.0171526978510905,-0.0665793964724137,10.93,6.34,0.0523466195828759,113.00264011828443,104.08758433850267,
