Date,close,volume,tasi,oil,vix,repo_rate,alrajhi,rsi,ma20,ma50,ma200,above_ma20,above_ma50,above_ma200,ret_1d,ret_20d,vol_ratio,bb_pct,high_52w,dist_from_high,rate_change_3m,rate_regime,vix_high,oil_bull,oil_bear,tasi_20d,rs_vs_tasi_20d,fwd_30d,fwd_30d_vs_tasi,fwd_60d,fwd_60d_vs_tasi,fwd_90d,fwd_90d_vs_tasi
2010-03-03,5.502370834350586,22047944,6478.580078125,79.25,18.82999992370605,1.5,11.08173370361328,,,,,0,0,0,,,,,,,,stable,0,0,0,,,0.08123242745578851,0.017613524659223057,0.01400560588208588,0.10912984793816427,-0.025210177248063736,0.03995378102428382
2010-03-04,5.502370834350586,0,6478.580078125,78.54000091552734,18.71999931335449,1.5,11.08173370361328,,,,,0,0,0,0.0,,,,,,,stable,0,0,0,,,0.07002802941042918,0.006409126613863725,-0.08403372195282399,0.011090520103254398,-0.0448179388226746,0.02034601944967296
2010-03-07,5.517783164978027,30901414,6478.580078125,78.54000091552734,18.71999931335449,1.5,11.26459789276123,,,,,0,0,0,0.002801034516107803,,,,,,,stable,0,0,0,,,0.07821231753866997,0.014593414742104516,-0.08659220870352735,0.008532033352551038,-0.00837980474660871,0.056784153525738845
2010-03-08,5.517783164978027,14528569,6553.990234375,80.47000122070312,17.790000915527344,1.5,11.22802448272705,,,,,0,0,0,0.0,,,,,,,stable,0,0,0,,,0.06983251279206137,0.024301522159267508,-0.0474859635159437,0.018652404004081524,0.0,0.05146331120443981
2010-03-09,5.502370834350586,12424257,6530.10009765625,79.91000366210938,17.920000076293945,1.5,11.33774471282959,,,,,0,0,0,-0.00279321063670368,,,,,,,stable,0,0,0,,,0.1064425180435431,0.07819031006284671,-0.03641466195373244,0.049966874269189554,-0.005602242352834352,0.04239551742021186
2010-03-10,5.486958026885986,7223192,6565.9501953125,80.4800033569336,18.56999969482422,1.5,11.301172256469728,,,,,0,0,0,-0.002801121176417176,,,,,,,stable,0,0,0,,,0.0842695979876571,0.05926637423609682,-0.0702247374094952,0.01575981862674347,-0.0028089894963797546,0.056772632249211474
2010-03-11,5.502370834350586,9147563,6565.9501953125,80.27999877929688,18.059999465942383,1.5,11.33774471282959,,,,,0,0,0,0.0028089894963798656,,,,,,,stable,0,0,0,,,0.08963579098504004,0.06463256723347977,-0.06722699489432127,0.0187575611419174,0.005602155692524979,0.06518377743811621
2010-03-14,5.517783164978027,22628001,6565.9501953125,80.27999877929688,18.059999465942383,1.5,11.374316215515137,,,,,0,0,0,0.002801034516107803,,,,,,,stable,0,0,0,,,0.08659220870352757,0.061588984951967296,-0.083798911648575,0.0021856443876636655,-0.00837980474660871,0.05120181699898252
2010-03-15,5.548608779907227,16225532,6578.10009765625,77.88999938964844,18.0,1.5,11.447464942932127,,,,,0,0,0,0.005586594109904919,,,,,,,stable,0,0,0,,,0.0805555832467364,0.027151135234054546,-0.09166669817732054,-0.001987320679677107,-0.0111110289924371,0.05681136293467015
2010-03-16,5.671910762786865,46156444,6613.56005859375,79.0199966430664,17.690000534057617,1.5,11.410889625549316,,,,,0,0,0,0.022222143923021465,,,,,,,stable,0,0,0,,,0.11413056682723188,0.06897941364563609,-0.09510865156114923,-0.002322028788083963,-0.021739055502885796,0.06065380876723392
2010-03-17,5.671910762786865,0,6674.41015625,81.95999908447266,16.90999984741211,1.5,11.410889625549316,,,,,0,0,0,0.0,,,,,,,stable,0,0,0,,,0.10326099704082248,0.07426067280805149,-0.09510865156114923,-0.010692176907782791,-0.0407608026291022,0.04680648006032084
2010-03-18,5.671910762786865,15221856,6674.41015625,81.4800033569336,16.6200008392334,1.5,11.776625633239746,,,,,0,0,0,0.0,,,,,,,stable,0,0,0,,,0.09782612807768465,0.06882580384491366,-0.09510865156114923,-0.010692176907782791,-0.038043410182499904,0.04952387250692314
2010-03-21,5.702736854553223,15487395,6674.41015625,81.4800033569336,16.6200008392334,1.5,11.813197135925291,,,,,0,0,0,0.005434868963137829,,,,,,,stable,0,0,0,,,0.09189183901074172,0.06289151477797073,-0.10000003344619757,-0.015583558792831131,-0.02702703606653989,0.060540246622883154
2010-03-22,5.7181501388549805,9473000,6692.60986328125,80.54000091552734,16.8700008392334,1.5,11.886344909667969,,,,,0,0,0,0.0027027872221478955,,,,,,,stable,0,0,0,,,0.13207542134936867,0.10232464315820122,-0.059299289599669125,-0.00661728880661272,-0.02964968649488864,0.041380881926655455
2010-03-23,5.7181501388549805,13012859,6738.830078125,80.69999694824219,16.350000381469727,1.5,11.849769592285156,88.88902257086481,,,,0,0,0,0.0,,,,,,,stable,0,0,0,,,0.1563342709161153,0.13448329703891515,-0.059299289599669125,0.002266275639799753,-0.04582219727931436,0.02301465977667616
2010-03-24,5.856864929199219,42219270,6756.97998046875,79.62000274658203,17.549999237060547,1.5,11.92292022705078,92.59268171390988,,,,0,0,0,0.02425868278653054,,,,,,,stable,0,0,0,,,0.11315801300296613,0.10414808800859365,-0.07105265471797162,-0.010294736202721033,-0.06315783388977836,0.009384917944894933
2010-03-25,5.826038837432861,30056613,6756.97998046875,79.61000061035156,18.399999618530277,1.5,12.032634735107422,85.71426992971604,,,,0,0,0,-0.005263241023824028,,,,,,,stable,0,0,0,,,0.10846565285291332,0.09945572785854084,-0.05820091832691676,0.0025570001883338245,-0.039682474075937724,0.03286027775873557
2010-03-28,5.826038837432861,10759498,6756.97998046875,79.61000061035156,18.399999618530277,1.5,12.398371696472168,85.71426992971604,,,,0,0,0,0.0,,,,,,,stable,0,0,0,,,0.10846565285291332,0.09945572785854084,-0.06084642205503654,-8.850353978595571e-05,-0.01587285867699928,0.05666989315767401
2010-03-29,5.826038837432861,0,6770.0498046875,81.16999816894531,17.59000015258789,1.5,12.398371696472168,88.88877430473198,,,,0,0,0,0.0,,,,,,,stable,0,0,0,,,0.05026473452599656,0.05164280265147625,-0.02380945170721871,0.023364444810517693,0.026455200972918202,0.0910927770616512
2010-03-30,5.826038837432861,0,6814.990234375,81.27999877929688,17.1299991607666,1.5,12.398371696472168,92.30757331645245,5.645709466934204,,,1,0,0,0.0,,0.0,0.8291756850140785,,,,stable,0,0,0,,,0.0714286825050956,0.08979703982860832,0.0,0.06624227095886681,0.06878309693111584,0.1441522638784043
2010-03-31,5.933928966522217,44082646,6801.009765625,82.69999694824219,17.59000015258789,1.5,12.581236839294434,93.74990936222913,5.667287373542786,,,1,0,0,0.01851860794269866,0.07843130627937134,2.5965478723958966,0.9540145265671827,,,,stable,0,0,0,0.049768573300295715,0.028662732979075622,0.028571437755170903,0.04464549557689257,-0.041558454916612364,0.025716783106693564,0.031168921545205563,0.10477120142264795
2010-04-01,5.856864929199219,29001399,6801.009765625,84.01000213623047,17.469999313354492,1.5,12.508091926574709,80.55550303790724,5.685012078285217,,,1,0,0,-0.01298701716144135,0.06442570039728546,1.5738129271902326,0.7917419617611872,,,,stable,0,0,0,0.049768573300295715,0.014657127096989742,0.047368517893733086,0.06344257571545475,-0.02894737784806256,0.03832786017524337,0.047368517893733086,0.12097079777117548
2010-04-04,5.856864929199219,0,6801.009765625,84.01000213623047,17.469999313354492,1.5,12.508091926574709,79.41171118050855,5.701966166496277,,,1,0,0,0.0,0.061452535208954995,0.0,0.764304575928171,,,,stable,0,0,0,0.049768573300295715,0.01168396190865928,0.002631661219454795,0.01870571904117646,-0.02894737784806256,0.03832786017524337,0.052631596087386434,0.12623387596482882
