Date,close,volume,tasi,oil,vix,repo_rate,saibor_3m,alrajhi,rsi,ma20,ma50,ma200,above_ma20,above_ma50,above_ma200,ret_1d,ret_5d,ret_20d,vol_ratio,bb_upper,bb_lower,bb_pct,high_52w,low_52w,dist_from_high,dist_from_low,rate_change_3m,rate_regime,saibor_change_3m,saibor_rising,vix_high,oil_bull,oil_bear,tasi_20d,rs_vs_tasi_20d,rs_vs_alrajhi,fwd_30d,fwd_30d_vs_tasi,fwd_60d,fwd_60d_vs_tasi,fwd_90d,fwd_90d_vs_tasi,pe_hist,pb_hist
2010-03-04,2.505507469177246,1060005,6478.580078125,78.54000091552734,18.71999931335449,1.5,0.6414835164835164,11.08173370361328,,,,,0,0,0,,,,,,,,,,,,,stable,,0,0,0,0,,,,0.0408803619041455,-0.0227385408924198,-0.2720129490734485,-0.1768887070173701,-0.1886796474593819,-0.1235156891870343,17.25,
2010-03-07,2.5212655067443848,1607893,6478.580078125,78.54000091552734,18.71999931335449,1.5,0.6373626373626373,11.26459789276123,,,,,0,0,0,0.0062893596450994,,,,,,,,,,,,stable,,0,0,0,0,,,,0.0312495921968076,-0.0323693105997577,-0.2765629051436062,-0.1814386630875278,-0.1750002884173302,-0.1098363301449827,17.36,
2010-03-08,2.5212655067443848,823898,6553.990234375,80.47000122070312,17.790000915527344,1.5,0.635989010989011,11.22802448272705,,,,,0,0,0,0.0,,,,,,,,,,,,stable,,0,0,0,0,,,,0.0281248504721627,-0.0174061401606311,-0.2765629051436062,-0.210424537623581,-0.1843750809696193,-0.1329117697651795,17.36,
2010-03-09,2.529143810272217,2733926,6530.10009765625,79.91000366210938,17.920000076293945,1.5,0.6346153846153846,11.33774471282959,,,,,0,0,0,0.0031247417246449,,,,,,,,,,,,stable,,0,0,0,0,,,,0.0249222332055492,-0.0033299747751471,-0.2492212008335597,-0.1628396646106377,-0.2087227957622164,-0.1607250359891702,17.41,
2010-03-10,2.568538188934326,3832005,6565.9501953125,80.4800033569336,18.56999969482422,1.5,0.6332417582417582,11.301172256469728,,,,,0,0,0,0.015576171865794,,,,,,,,,,,,stable,,0,0,0,0,,,,-0.0306745516432861,-0.0556777753948464,-0.2745397155727669,-0.1885551595365282,-0.2208588324949899,-0.1612772107493987,17.69,
2010-03-11,2.5449018478393555,2469578,6565.9501953125,80.27999877929688,18.059999465942383,1.5,0.6318681318681318,11.33774471282959,,,,,0,0,0,-0.0092022541057789,0.015723113639348,,,,,,,,,,,stable,,0,0,0,0,,,,0.0,-0.0250032237515602,-0.2600620268215787,-0.17407747078534,-0.2461301626405319,-0.1865485408949406,17.52,
2010-03-14,2.552781343460083,2575497,6565.9501953125,80.27999877929688,18.059999465942383,1.5,0.6277472527472527,11.374316215515137,,,,,0,0,0,0.0030961884158389,0.0125000070922294,,,,,,,,,,,stable,,0,0,0,0,,,,-0.0030866316227646,-0.0280898553743249,-0.2685187857337453,-0.1825342296975066,-0.2669756567135896,-0.2073940349679983,17.58,
2010-03-15,2.6552071571350098,9558530,6578.10009765625,77.88999938964844,18.0,1.5,0.6263736263736264,11.447464942932127,,,,,0,0,0,0.0401232224363161,0.0531247700935626,,,,,,,,,,,stable,,0,0,0,0,,,,-0.0415430144496427,-0.0949474624623245,-0.2967360034968922,-0.2070566259992488,-0.2982195607226743,-0.230297168795567,18.28,
2010-03-16,2.63944935798645,9615759,6613.56005859375,79.0199966430664,17.690000534057617,1.5,0.625,11.410889625549316,,,,,0,0,0,-0.0059346778673051,0.0436137902740931,,,,,,,,,,,stable,,0,0,0,0,,,,-0.0298508136782897,-0.0750019668598855,-0.2895521610152536,-0.1967655382421883,-0.297015135421551,-0.2146222711514313,18.17,
2010-03-17,2.63944935798645,0,6674.41015625,81.95999908447266,16.90999984741211,1.5,0.6236263736263736,11.410889625549316,,,,,0,0,0,0.0,0.0276075977213889,,,,,,,,,,,stable,,0,0,0,0,,,,-0.0208957863641828,-0.0498961105969538,-0.2835820073124864,-0.1991655326591199,-0.298507639973902,-0.210940357284479,18.17,
