Date,close,volume,tasi,oil,vix,repo_rate,saibor_3m,alrajhi,rsi,ma20,ma50,ma200,above_ma20,above_ma50,above_ma200,ret_1d,ret_5d,ret_20d,vol_ratio,bb_upper,bb_lower,bb_pct,high_52w,low_52w,dist_from_high,dist_from_low,rate_change_3m,rate_regime,saibor_change_3m,saibor_rising,vix_high,oil_bull,oil_bear,tasi_20d,rs_vs_tasi_20d,rs_vs_alrajhi,fwd_30d,fwd_30d_vs_tasi,fwd_60d,fwd_60d_vs_tasi,fwd_90d,fwd_90d_vs_tasi
2010-03-03,18.17002487182617,2226262,6478.580078125,79.25,18.82999992370605,1.5,0.6428571428571429,11.08173370361328,,,,,0,0,0,,,,,,,,,,,,,stable,,0,0,0,0,,,,0.22015916734321306,0.1565402645466476,-0.01326251064681161,0.08186173140926678,0.031830319474685176,0.09699427774703273
2010-03-04,18.17002487182617,0,6478.580078125,78.54000091552734,18.71999931335449,1.5,0.6414835164835164,11.08173370361328,,,,,0,0,0,0.0,,,,,,,,,,,,stable,,0,0,0,0,,,,0.21750704311399827,0.1538881403174328,-0.0583552357960454,0.03676900626003299,0.007957527382540075,0.07312148565488763
2010-03-07,18.555599212646484,4083773,6478.580078125,78.54000091552734,18.71999931335449,1.5,0.6373626373626373,11.26459789276123,,,,,0,0,0,0.02122035294614122,,,,,,,,,,,,stable,,0,0,0,0,,,,0.20000014390740262,0.13638124111083716,-0.07792205522796058,0.017202186828117805,0.01818156961448647,0.08334552788683403
2010-03-08,18.74838256835937,2532177,6553.990234375,80.47000122070312,17.790000915527344,1.5,0.635989010989011,11.22802448272705,,,,,0,0,0,0.010389497719992535,,,,,,,,,,,,stable,,0,0,0,0,,,,0.21850904293501894,0.17297805230222507,-0.08740347474635657,-0.021265107226331348,0.04884301949875258,0.10030633070319239
2010-03-09,18.555599212646484,2435221,6530.10009765625,79.91000366210938,17.920000076293945,1.5,0.6346153846153846,11.33774471282959,,,,,0,0,0,-0.010282665985184125,,,,,,,,,,,,stable,,0,0,0,0,,,,0.2285714168238855,0.2003192088431891,0.0025976314075026874,0.08897916763042468,0.05973997165846501,0.10773773143151122
2010-03-10,18.555599212646484,886636,6565.9501953125,80.4800033569336,18.56999969482422,1.5,0.6332417582417582,11.301172256469728,,,,,0,0,0,0.0,0.02122035294614122,,,,,,,,,,,stable,,0,0,0,0,,,,0.20259756973290166,0.17759434598134138,-0.04935047393847214,0.03663408209776653,0.05973997165846501,0.11932159340405624
2010-03-11,18.796579360961918,2123513,6565.9501953125,80.27999877929688,18.059999465942383,1.5,0.6318681318681318,11.33774471282959,,,,,0,0,0,0.012986923545492024,0.03448286359295327,,,,,,,,,,,stable,,0,0,0,0,,,,0.21282060830937444,0.18781738455781416,-0.0666664569554335,0.019318099080805173,0.0,0.05958162174559123
2010-03-14,18.74838256835937,2222876,6565.9501953125,80.27999877929688,18.059999465942383,1.5,0.6277472527472527,11.374316215515137,,,,,0,0,0,-0.002564125720802446,0.010389497719992535,,,,,,,,,,,stable,,0,0,0,0,,,,0.2159384273057412,0.19093520355418092,-0.08997419210967073,-0.003989636073432057,-0.010282665985184125,0.049298955760407104
2010-03-15,18.892969131469727,2098786,6578.10009765625,77.88999938964844,18.0,1.5,0.6263736263736264,11.447464942932127,,,,,0,0,0,0.0077119486218701905,0.0077119486218701905,,,,,,,,,,,stable,,0,0,0,0,,,,0.20663293609710376,0.1532284880844219,-0.09438751172724014,-0.0047081342295967055,-0.038265253841936464,0.029657138085170787
2010-03-16,18.74838256835937,1484040,6613.56005859375,79.0199966430664,17.690000534057617,1.5,0.625,11.410889625549316,,,,,0,0,0,-0.007652929621819959,0.010389497719992535,,,,,,,,,,,stable,,0,0,0,0,,,,0.25449898428738194,0.20934783110578614,-0.06940855493719333,0.02337806783587193,-0.028277687528383666,0.05411517674173605
