Date,close,volume,tasi,oil,vix,repo_rate,saibor_3m,alrajhi,rsi,ma20,ma50,ma200,above_ma20,above_ma50,above_ma200,ret_1d,ret_5d,ret_20d,vol_ratio,bb_upper,bb_lower,bb_pct,high_52w,low_52w,dist_from_high,dist_from_low,rate_change_3m,rate_regime,saibor_change_3m,saibor_rising,vix_high,oil_bull,oil_bear,tasi_20d,rs_vs_tasi_20d,rs_vs_alrajhi,fwd_30d,fwd_30d_vs_tasi,fwd_60d,fwd_60d_vs_tasi,fwd_90d,fwd_90d_vs_tasi,pe_hist,pb_hist
2010-03-04,12.143491744995115,1833613,6478.580078125,78.54000091552734,18.71999931335449,1.5,0.6414835164835164,11.08173370361328,,,,,0,0,0,,,,,,,,,,,,,stable,,0,0,0,0,,,,-0.0304566566567506,-0.0940755594533161,-0.1065990051026537,-0.0114747630465753,-0.1776649299706424,-0.1125009716982948,,
2010-03-07,12.143491744995115,2883045,6478.580078125,78.54000091552734,18.71999931335449,1.5,0.6373626373626373,11.26459789276123,,,,,0,0,0,0.0,,,,,,,,,,,,stable,,0,0,0,0,,,,-0.0355328446333232,-0.0991517474298887,-0.1065990051026537,-0.0114747630465753,-0.1776649299706424,-0.1125009716982948,,
2010-03-08,12.143491744995115,1786721,6553.990234375,80.47000122070312,17.790000915527344,1.5,0.635989010989011,11.22802448272705,,,,,0,0,0,0.0,,,,,,,,,,,,stable,,0,0,0,0,,,,-0.0355328446333232,-0.0810638352661171,-0.1065990051026537,-0.0404606375826285,-0.1725888205278504,-0.1211255093234106,,
2010-03-09,12.020208358764648,1571287,6530.10009765625,79.91000366210938,17.920000076293945,1.5,0.6346153846153846,11.33774471282959,,,,,0,0,0,-0.0101522188855834,,,,,,,,,,,,stable,,0,0,0,0,,,,-0.0307691892686999,-0.0590213972493963,-0.0871794753803166,-0.0007979391573946,-0.1692307789956,-0.1212330192225538,,
2010-03-10,12.081850051879885,1610631,6565.9501953125,80.4800033569336,18.56999969482422,1.5,0.6332417582417582,11.301172256469728,,,,,0,0,0,0.0051281717650335,,,,,,,,,,,,stable,,0,0,0,0,,,,-0.0714285037704625,-0.0964317275220227,-0.1122448029156496,-0.0262602468794109,-0.1734693700351212,-0.1138877482895299,,
2010-03-11,12.020208358764648,1474204,6565.9501953125,80.27999877929688,18.059999465942383,1.5,0.6318681318681318,11.33774471282959,,,,,0,0,0,-0.0051020077927258,-0.0101522188855834,,,,,,,,,,,stable,,0,0,0,0,,,,-0.0717948807459666,-0.0967981044975269,-0.0974359775888833,-0.0114514215526446,-0.1692307789956,-0.1096491572500087,,
2010-03-14,12.020208358764648,1927883,6565.9501953125,80.27999877929688,18.059999465942383,1.5,0.6277472527472527,11.374316215515137,,,,,0,0,0,0.0,-0.0101522188855834,,,,,,,,,,,stable,,0,0,0,0,,,,-0.0717948807459666,-0.0967981044975269,-0.0974359775888833,-0.0114514215526446,-0.1743589507606333,-0.1147773290150421,,
2010-03-15,12.081850051879885,1529704,6578.10009765625,77.88999938964844,18.0,1.5,0.6263736263736264,11.447464942932127,,,,,0,0,0,0.0051281717650335,-0.0050761094427915,,,,,,,,,,,stable,,0,0,0,0,,,,-0.0765305904976487,-0.1299350385103306,-0.1071428740573846,-0.0174634965597412,-0.1836734645550332,-0.1157510726279259,,
2010-03-16,12.020208358764648,1727295,6613.56005859375,79.0199966430664,17.690000534057617,1.5,0.625,11.410889625549316,,,,,0,0,0,-0.0051020077927258,0.0,,,,,,,,,,,stable,,0,0,0,0,,,,-0.0717948807459666,-0.1169460339275624,-0.1025641493539167,-0.0097775265808515,-0.1692307789956,-0.0868379147254803,,
2010-03-17,12.020208358764648,0,6674.41015625,81.95999908447266,16.90999984741211,1.5,0.6236263736263736,11.410889625549316,,,,,0,0,0,0.0,-0.0051020077927258,,,,,,,,,,,stable,,0,0,0,0,,,,-0.0769230525109999,-0.1059233767437709,-0.1076922417796999,-0.0232757671263335,-0.1743589507606333,-0.0867916680712103,,
2010-03-18,12.143491744995115,5867658,6674.41015625,81.4800033569336,16.6200008392334,1.5,0.6222527472527473,11.776625633239746,,,,,0,0,0,0.0102563435300664,0.0102563435300664,,,,,,,,,,,stable,,0,0,0,0,,,,-0.0913704411729364,-0.1203707654057074,-0.1065990051026537,-0.0221825304492873,-0.1878172273900066,-0.1002499447005835,,
