Date,close,volume,tasi,oil,vix,repo_rate,peer_1180,peer_1050,peer_1060,peer_1080,peer_1010,ret_1d,ret_5d,ret_20d,rsi,ma20,ma50,ma200,above_ma20,above_ma50,above_ma200,ma50_above_ma200,vol_20d,high_52w,low_52w,dist_from_high,dist_from_low,bb_upper,bb_lower,bb_pct,vol_ratio,rs_vs_tasi_20d,rate_change_3m,rate_regime,vix_regime,vix_high,vix_elevated,oil_change_3m,oil_bull,oil_bear,fwd_30d,fwd_30d_vs_tasi,fwd_60d,fwd_60d_vs_tasi,fwd_90d,fwd_90d_vs_tasi,pe_hist,pb_hist
2010-03-03,11.08173370361328,4104986,6478.580078125,79.25,18.82999992370605,1.5,,7.560060501098633,,7.353732585906982,,,,,,,,,0,0,0,0,,,,,,,,,,,,stable,normal,0,0,,0,0,0.1155113063294104,0.0518924035328449,0.0363029731395077,0.1314272151955861,0.0066003215135235,0.071764279785871,2.46,
2010-03-04,11.08173370361328,0,6478.580078125,78.54000091552734,18.71999931335449,1.5,,7.560060501098633,13.926082611083984,7.353732585906982,,0.0,,,,,,,0,0,0,0,,,,,,,,,,,,stable,normal,0,0,,0,0,0.1188115531443956,0.0551926503478301,-0.0165020946571611,0.0786221473989172,-0.0099011707360729,0.0552627875362745,2.46,
2010-03-07,11.26459789276123,6543928,6478.580078125,78.54000091552734,18.71999931335449,1.5,,7.874373912811279,14.13131046295166,7.421043395996094,,0.016501406191373,,,,,,,0,0,0,0,,,,,,,,,,,,stable,normal,0,0,,0,0,0.0909091063020353,0.0272902035054698,-0.0324677375235432,0.0626565045325351,-0.0064936829626203,0.0586702753097272,2.5,
2010-03-08,11.22802448272705,3304883,6553.990234375,80.47000122070312,17.790000915527344,1.5,,8.110946655273438,14.16062831878662,7.488353729248047,,-0.0032467568201153,,,,,,,0,0,0,0,,,,,,,,,,,,stable,normal,0,0,,0,0,0.0651466517381458,0.0196156611053519,-0.0293161631560945,0.0368222043639306,0.0065147501107791,0.0579780613152189,2.49,
2010-03-09,11.33774471282959,5426142,6530.10009765625,79.91000366210938,17.920000076293945,1.5,,7.92506742477417,14.39517307281494,7.538839340209961,,0.0097719977607217,,,,,,,0,0,0,0,,,,,,,,,,,,stable,normal,0,0,,0,0,0.0419353614972197,0.0136831535165233,-0.0032257258640226,0.0831558103588993,0.0198019310615387,0.0677996908345849,2.52,
2010-03-10,11.301172256469728,3697855,6565.9501953125,80.4800033569336,18.56999969482422,1.5,,7.806783199310303,14.336536407470703,7.538839340209961,,-0.0032257258640226,0.0198018251228053,,,,,,0,0,0,0,,,,,,,,,,,,stable,normal,0,0,,0,0,0.0323625767058575,0.0073593529542972,-0.0323627454802637,0.0536218105559749,0.023102178219359,0.0826837999649502,2.51,
2010-03-11,11.33774471282959,4172752,6565.9501953125,80.27999877929688,18.059999465942383,1.5,,7.840578556060791,14.48313045501709,7.538839340209961,,0.0032361648446623,0.0231020719377903,,,,,,0,0,0,0,,,,,,,,,,,,stable,normal,0,0,,0,0,0.0322579315601725,0.0072547078086122,-0.0322580156751654,0.0537265403610732,0.0066430656819491,0.0662246874275404,2.52,
2010-03-14,11.374316215515137,3203086,6565.9501953125,80.27999877929688,18.059999465942383,1.5,,7.89127254486084,14.307225227355955,7.538839340209961,,0.0032256417490299,0.0097401011379565,,,,,,0,0,0,0,,,,,,,,,,,,stable,normal,0,0,,0,0,0.0289389431479516,0.0039357193963913,-0.0482313203796312,0.0377532356566073,-0.0097098685443371,0.049871753201254,2.52,
2010-03-15,11.447464942932127,7034213,6578.10009765625,77.88999938964844,18.0,1.5,,7.92506742477417,14.27790355682373,7.572494029998779,,0.0064310439441812,0.0195439955214435,,,,,,0,0,0,0,,,,,,,,,,,,stable,normal,0,0,,0,0,0.0223640748556031,-0.0310403731570787,-0.0543130745546082,0.0353663029430352,-0.0160377728664474,0.0518846190606597,2.54,
2010-03-16,11.410889625549316,2860736,6613.56005859375,79.0199966430664,17.690000534057617,1.5,,7.908169269561768,14.072675704956056,7.555665493011475,,-0.0031950582565787,0.0064514517280458,,,,,,0,0,0,0,,,,,,,,,,,,stable,normal,0,0,,0,0,0.0833335213789006,0.0381823681973048,-0.0448718511247423,0.0479147716483229,-0.0063466632567736,0.076046201013346,2.53,
2010-03-17,11.410889625549316,0,6674.41015625,81.95999908447266,16.90999984741211,1.5,,7.908169269561768,14.072675704956056,7.555665493011475,,0.0,0.0097084945339875,,,,,,0,0,0,0,,,,,,,,,,,,stable,normal,0,0,,0,0,0.0737179575576976,0.0447176333249266,-0.0384613359509276,0.0459551387024388,-0.0161526127677925,0.0714146699216304,2.53,
2010-03-18,11.776625633239746,12696157,6674.41015625,81.4800033569336,16.6200008392334,1.5,,8.0771484375,14.014037132263184,7.639805316925049,,0.0320514893835741,0.03870971974819,,,,,,0,0,0,0,,,,,,,,,,,,stable,normal,0,0,,0,0,0.0310560142952849,0.0020556900625139,-0.0527951676157957,0.0316213070375707,-0.0467070709622812,0.0408602117271418,2.61,
2010-03-21,11.813197135925291,8345185,6674.41015625,81.4800033569336,16.6200008392334,1.5,,8.094046592712402,14.307225227355955,7.77442741394043,,0.0031054313709626,0.038585257530602,,,,,,0,0,0,0,,,,,,,,,,,,stable,normal,0,0,,0,0,0.027864053019952,-0.0011362712128188,-0.0340557687937426,0.0503607058596238,-0.0338718668349607,0.0536954158544622,2.62,
