Date,close,volume,tasi,oil,vix,repo_rate,saibor_3m,alrajhi,rsi,ma20,ma50,ma200,above_ma20,above_ma50,above_ma200,ret_1d,ret_5d,ret_20d,vol_ratio,bb_upper,bb_lower,bb_pct,high_52w,low_52w,dist_from_high,dist_from_low,rate_change_3m,rate_regime,saibor_change_3m,saibor_rising,vix_high,oil_bull,oil_bear,tasi_20d,rs_vs_tasi_20d,rs_vs_alrajhi,fwd_30d,fwd_30d_vs_tasi,fwd_60d,fwd_60d_vs_tasi,fwd_90d,fwd_90d_vs_tasi,pe_hist,pb_hist
2018-09-10,42.81440353393555,1918555,7706.33984375,77.37000274658203,14.15999984741211,3.25,2.754032786885246,18.44198226928711,,,,,0,0,0,,,,,,,,,,,,,stable,,0,0,0,0,,,,-0.1098038684589595,-0.0894868531970733,0.1051995275287054,0.0794051455694522,0.2351055224203344,0.151938912947513,3.23,
2018-09-11,41.97490692138672,931497,7693.06982421875,79.05999755859375,13.220000267028809,3.25,2.7558032786885245,18.59659004211425,,,,,0,0,0,-0.0196078081966837,,,,,,,,,,,,stable,,0,0,0,0,,,,-0.0339998200567637,-0.0105306707037828,0.1374959899013674,0.1127256364601647,0.2434990961942005,0.1507662965908642,3.16,
2018-09-12,41.97490692138672,652157,7635.3798828125,79.73999786376953,13.140000343322754,3.25,2.757573770491803,18.552413940429688,,,,,0,0,0,0.0,,,,,,,,,,,,stable,,0,0,0,0,,,,0.0199999636478311,-0.0062161415030845,0.1517655794035881,0.1237905341622804,0.2557305104662437,0.1492997027120965,3.16,
2018-09-13,42.56254959106445,384111,7590.64990234375,78.18000030517578,12.369999885559082,3.25,2.7593442622950817,18.33155059814453,,,,,0,0,0,0.0139998564089327,,,,,,,,,,,,stable,,0,0,0,0,,,,0.003944784489237,-0.0239843128512344,0.1479261021963938,0.1151726330750297,0.2404035772475183,0.1359501194926775,3.21,
2018-09-16,41.97490692138672,286693,7469.81005859375,78.18000030517578,12.369999885559082,3.25,2.764655737704918,17.911911010742188,,,,,0,0,0,-0.0138065664609787,,,,,,,,,,,,stable,,0,0,0,0,,,,0.015999861861758,-0.0345636336044645,0.1578812865396097,0.1110447725537222,0.2536917899535329,0.1288920998467875,3.16,
2018-09-17,41.51317596435547,122563,7609.64990234375,78.05000305175781,13.68000030517578,3.25,2.7664262295081965,18.22111892700196,,,,,0,0,0,-0.0110001663111727,-0.0303922853566954,,,,,,,,,,,stable,,0,0,0,0,,,,0.027300336413834,-0.0020479359759659,0.1583926567871332,0.1282611734725225,0.273819817816425,0.1700370553482058,3.13,
2018-09-18,42.47860336303711,237313,7643.39990234375,79.02999877929688,12.789999961853027,3.25,2.768196721311475,18.088605880737305,,,,,0,0,0,0.0232559272147856,0.0119999418365297,,,,,,,,,,,stable,,0,0,0,0,,,,0.0177867005833858,-0.0167018603514432,0.1320654256459359,0.0997905290608958,0.248897693154809,0.141262384582379,3.2,
2018-09-19,43.8218002319336,252069,7729.64990234375,79.4000015258789,11.75,3.25,2.769967213114754,18.3536376953125,,,,,0,0,0,0.0316205515849252,0.0439999382013129,,,,,,,,,,,stable,,0,0,0,0,,,,-0.0268199980814133,-0.0461895965412805,0.0973661041423543,0.0734788467566396,0.2106173061752903,0.1193790541194099,3.3,
2018-09-20,44.32550430297852,438319,7768.31005859375,78.69999694824219,11.800000190734863,3.25,2.7717377049180327,18.66284370422364,,,,,0,0,0,0.0114943719422522,0.041420326762666,,,,,,,,,,,stable,,0,0,0,0,,,,-0.0193468572458845,-0.0294674776375134,0.0848959070678887,0.066904894277354,0.1968601504432356,0.1014572090935426,3.34,
2018-09-23,44.32550430297852,0,7768.31005859375,78.69999694824219,11.800000190734863,3.25,2.777049180327869,18.66284370422364,,,,,0,0,0,0.0,0.0560000617986873,,,,,,,,,,,stable,,0,0,0,0,,,,-0.0193468572458845,-0.0237184593937587,0.0829655588177455,0.0572264076351722,0.2026513673156669,0.0925090554804544,3.34,
2018-09-24,44.32550430297852,438319,7768.31005859375,81.19999694824219,12.199999809265137,3.25,2.778819672131148,18.66284370422364,,,,,0,0,0,0.0,0.0677454392079712,,,,,,,,,,,stable,,0,0,0,0,,,,-0.02706850842946,-0.0327363801833097,0.0810351245066014,0.0584973940601556,0.1872080649485159,0.0825301615148503,3.34,
2018-09-25,45.16499710083008,446506,7905.27001953125,81.87000274658203,12.420000076293944,3.25,2.780590163934426,19.148738861083984,,,,,0,0,0,0.0189392723456311,0.0632411031698501,,,,,,,,,,,stable,,0,0,0,0,,,,-0.0451526229518858,-0.0308950503883893,0.0609416614378044,0.0666239369026548,0.155668375291909,0.0698572819826037,3.4,
2018-09-26,45.24894714355469,390401,7893.5498046875,81.33999633789062,12.890000343322754,3.25,2.7823606557377047,19.192914962768555,,,,,0,0,0,0.0018587412401951,0.032567053477212,,,,,,,,,,,stable,,0,0,0,0,,,,-0.0185588286372825,0.0004642562464765,0.0495178616290696,0.0672779245760343,0.1610885080940907,0.0766650982070376,3.41,
2018-09-27,44.829200744628906,235932,7898.68017578125,81.72000122070312,12.40999984741211,3.5,2.784131147540984,19.038312911987305,,,,,0,0,0,-0.0092763793507528,0.0113635806195788,,,,,,,,,,,stable,,0,0,0,0,,,,-0.0074607040033166,0.0162863408605992,0.0841585043056727,0.1054405531942547,0.1605075892810799,0.0809968645549541,3.38,
2018-09-30,44.91314315795898,133580,7999.5400390625,81.72000122070312,12.40999984741211,3.5,2.78944262295082,19.41377830505371,65.62498579990817,,,,0,0,0,0.0018724940872412,0.01325735294434,,,,,,,,,,,stable,,0,0,0,0,,,,0.0059257442279669,0.0339960837213632,0.0802269564795672,0.1096074298930166,0.1545285934061064,0.0893873969335066,3.39,
