Date,close,volume,tasi,oil,vix,repo_rate,saibor_3m,alrajhi,rsi,ma20,ma50,ma200,above_ma20,above_ma50,above_ma200,ret_1d,ret_5d,ret_20d,vol_ratio,bb_upper,bb_lower,bb_pct,high_52w,low_52w,dist_from_high,dist_from_low,rate_change_3m,rate_regime,saibor_change_3m,saibor_rising,vix_high,oil_bull,oil_bear,tasi_20d,rs_vs_tasi_20d,rs_vs_alrajhi,fwd_30d,fwd_30d_vs_tasi,fwd_60d,fwd_60d_vs_tasi,fwd_90d,fwd_90d_vs_tasi
2010-03-03,23.37420654296875,222276,6478.580078125,79.25,18.82999992370605,1.5,0.6428571428571429,11.08173370361328,,,,,0,0,0,,,,,,,,,,,,,stable,,0,0,0,0,,,,0.107623566114742,0.04400466331817654,-0.05605396278491659,0.0390702792711618,-0.0691639107433355,-0.003999952470987944
2010-03-04,23.37420654296875,0,6478.580078125,78.54000091552734,18.71999931335449,1.5,0.6414835164835164,11.08173370361328,,,,,0,0,0,0.0,,,,,,,,,,,,stable,,0,0,0,0,,,,0.1165917954214899,0.05297289262492444,-0.12556067753281652,-0.030436435476738133,-0.0854125431177426,-0.020248584845395046
2010-03-07,23.26938819885254,40063,6478.580078125,78.54000091552734,18.71999931335449,1.5,0.6373626373626373,11.26459789276123,,,,,0,0,0,-0.004484359455090958,,,,,,,,,,,,stable,,0,0,0,0,,,,0.18806312629299637,0.12444422349643092,-0.12162171355886764,-0.02649747150278925,-0.07196622977917522,-0.006802271506827662
2010-03-08,23.63624382019043,163468,6553.990234375,80.47000122070312,17.790000915527344,1.5,0.635989010989011,11.22802448272705,,,,,0,0,0,0.015765589460404517,,,,,,,,,,,,stable,,0,0,0,0,,,,0.175166409125612,0.12963541849281812,-0.1352549293309444,-0.06911656181091919,-0.07718775335999684,-0.025724442155557026
2010-03-09,23.583839416503903,103393,6530.10009765625,79.91000366210938,17.920000076293945,1.5,0.6346153846153846,11.33774471282959,,,,,0,0,0,-0.0022171206256453857,,,,,,,,,,,,stable,,0,0,0,0,,,,0.18888913331183144,0.16063692533113505,-0.08444442431549615,0.001937111907425848,-0.06823524730515607,-0.020237487532109855
2010-03-10,23.583839416503903,36158,6565.9501953125,80.4800033569336,18.56999969482422,1.5,0.6332417582417582,11.301172256469728,,,,,0,0,0,0.0,0.008968555709037096,,,,,,,,,,,stable,,0,0,0,0,,,,0.17222228332795808,0.1472190595763978,-0.1022221765726431,-0.01623762053640443,-0.06823524730515607,-0.008653625559564837
2010-03-11,23.583839416503903,39812,6565.9501953125,80.27999877929688,18.059999465942383,1.5,0.6318681318681318,11.33774471282959,,,,,0,0,0,0.0,0.008968555709037096,,,,,,,,,,,stable,,0,0,0,0,,,,0.09777808222811935,0.07277485847655907,-0.09555563067966555,-0.00957107464342688,-0.05903261568960194,0.0005490060559892873
2010-03-14,23.53143310546875,122292,6565.9501953125,80.27999877929688,18.059999465942383,1.5,0.6277472527472527,11.374316215515137,,,,,0,0,0,-0.002222128047500105,0.011261357813830752,,,,,,,,,,,stable,,0,0,0,0,,,,0.10022291843367315,0.07521969468211287,-0.0824054116444769,0.0035791443917617682,-0.07999474437086784,-0.020413122625276614
2010-03-15,23.583839416503903,89501,6578.10009765625,77.88999938964844,18.0,1.5,0.6263736263736264,11.447464942932127,,,,,0,0,0,0.002227076897538094,-0.0022171206256453857,,,,,,,,,,,stable,,0,0,0,0,,,,0.09777808222811935,0.044373634215437496,-0.06666675293358726,0.023012624564056172,-0.0797386985750752,-0.011816306647967956
2010-03-16,23.583839416503903,71007,6613.56005859375,79.0199966430664,17.690000534057617,1.5,0.625,11.410889625549316,,,,,0,0,0,0.0,0.0,,,,,,,,,,,stable,,0,0,0,0,,,,0.09111097020847403,0.045959817026878236,-0.013333334411669728,0.07945328836139554,-0.0843400143828521,-0.0019471501127323876
2010-03-17,23.583839416503903,0,6674.41015625,81.95999908447266,16.90999984741211,1.5,0.6236263736263736,11.410889625549316,,,,,0,0,0,0.0,0.0,,,,,,,,,,,stable,,0,0,0,0,,,,0.0888888421609737,0.05988851792820271,0.00888875481571616,0.0933052294690826,-0.1280521910557808,-0.040484908366357764
2010-03-18,23.47902107238769,109385,6674.41015625,81.4800033569336,16.6200008392334,1.5,0.6222527472527473,11.776625633239746,,,,,0,0,0,-0.004444498720715506,-0.004444498720715506,,,,,,,,,,,stable,,0,0,0,0,,,,0.08258912088439718,0.05358879665162619,0.01116072933618839,0.09557720398955483,-0.12184875280762786,-0.034281470118204815
